mouse,group,day,factor1,factor2,composite
6100_orange,Passive,3,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_orange,Passive,4,-6.783088443753475,10.196527151714696,1.7067171860132957
6100_orange,Passive,5,6.901111121907985,-6.77239739616248,0.06435860871436905
6100_orange,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_orange,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_orange,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_orange,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_orange,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_orange,Passive,11,7.671389180382162,-7.54103597763385,0.06517854370555476
6100_orange,Passive,12,6.4121411661212555,-5.923343414136328,0.24440045099439622
6100_orange,Passive,13,7.333706957735679,-7.275984685668423,0.028863001407656963
6100_orange,Passive,14,1.3583556989844952,-0.5405287853986338,0.4089136992436195
6100_orange,Passive,15,4.646773720517528,-4.388157085987787,0.1293094708501541
6100_orange,Passive,16,4.974307181169873,-4.56081750430647,0.20674605588203443
6100_orange,Passive,17,7.714735971229367,-7.761009443209176,-0.023134760037619717
6100_orange,Passive,18,9.96494058468718,-10.647346817895999,-0.34120048481541954
6100_red,Passive,3,-0.9160614413209893,3.247337916924516,1.1656377062164824
6100_red,Passive,4,-1.162999051892,3.231876444312122,1.0344381350697704
6100_red,Passive,5,-2.603077274967485,4.620628919520914,1.0087748999496553
6100_red,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_red,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_red,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_red,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_red,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
6100_red,Passive,11,-3.0476410316744307,5.733868926196767,1.3431128260328071
6100_red,Passive,12,-3.4300146968320795,6.662125481045448,1.6160541035362856
6100_red,Passive,13,1.3837626026807834,0.4045774588793568,0.8941701558030057
6100_red,Passive,14,-0.9387517478732196,2.7803499472106497,0.9207986248116212
6100_red,Passive,15,-5.302643813726262,8.120103010690869,1.4087278846580875
6100_red,Passive,16,-4.109970654014562,7.390657718857074,1.6403420640142552
6100_red,Passive,17,-1.273861511891183,3.5606225999715435,1.143379926770403
6100_red,Passive,18,1.3685855101458906,0.4451759800359936,0.9068808629924145
