mouse_key,day_index,pupil_reward_peak,n_rewards
6100_orange,8,0.571445199147143,30
6100_orange,9,0.20423319299576218,27
6100_orange,10,0.25541178554137905,27
6100_orange,11,0.7283105255964106,18
6100_orange,12,0.6643945673022336,21
6100_orange,13,0.3081106908550402,18
6100_orange,14,0.4840118936352754,30
6100_orange,15,0.4195001003342572,23
6100_orange,16,0.4452973428066353,23
6100_orange,17,0.08557193542765405,17
6100_orange,18,1.1208351978403357,11
6100_red,1,0.030082336284984537,416
6100_red,2,0.11806366048472301,246
6100_red,3,0.08836056572072568,20
6100_red,4,-0.4275773762989246,19
6100_red,5,-0.06153379000933252,21
6100_red,6,0.8946163997246642,27
6100_red,7,0.7757138654410228,24
6100_red,8,0.24948957142493253,30
6100_red,9,0.35057622828775564,27
6100_red,10,0.1433679471021784,27
6100_red,11,-0.09926451148231114,24
6100_red,12,0.49222117518832365,25
6100_red,13,0.7496040715338017,14
6100_red,14,0.7270580986274103,18
6100_red,15,0.11046698410329775,28
6100_red,16,0.2204770496691078,30
6100_red,17,0.3182589122865415,20
6100_red,18,0.9347679448117153,14
