mouse_key,Group,Period,day_index,pupil_mean,pupil_baseline,pupil_pct,pupil_delta
6099_white,Passive,Pre,4,41.7609811160584,39.7815509619803,4.9757490751677,1.979430154078102
6099_white,Passive,Pre,5,37.2688975586453,39.7815509619803,-6.31612730669142,-2.512653403335001
6099_white,Passive,During,6,37.4314156194312,39.7815509619803,-5.9076011008096545,-2.350135342549102
6099_white,Passive,During,7,40.4351711095911,39.7815509619803,1.6430232904581181,0.6536201476108019
6099_white,Passive,During,8,36.3556187931543,39.7815509619803,-8.611861744908351,-3.4259321688260016
6099_white,Passive,During,9,35.4621406459589,39.7815509619803,-10.85782281376992,-4.319410316021404
6099_white,Passive,During,10,34.9947600175994,39.7815509619803,-12.03269060312831,-4.786790944380904
6099_white,Passive,Post,11,35.0735354326489,39.7815509619803,-11.834670633708837,-4.708015529331398
6099_white,Passive,Post,12,36.4247945208881,39.7815509619803,-8.437972778638755,-3.3567564410922017
6099_white,Passive,Post,13,42.4604451314177,39.7815509619803,6.734011381299965,2.678894169437399
6100_black,Active,Pre,3,19.003022424372,24.726476460709,-23.147066851323185,-5.723454036337003
6100_black,Active,Pre,4,25.0785650700436,24.726476460709,1.4239336117868429,0.3520886093345972
6100_black,Active,Pre,5,24.726476460709,24.726476460709,0.0,0.0
6100_black,Active,During,6,29.6649547417381,24.726476460709,19.9724303172612,4.938478281029099
6100_black,Active,During,7,23.5851501908289,24.726476460709,-4.615806347069694,-1.1413262698800999
6100_black,Active,During,8,17.2490842242596,24.726476460709,-30.24042769834662,-7.4773922364494005
6100_black,Active,During,9,26.7856553509602,24.726476460709,8.327829860931814,2.0591788902512
6100_black,Active,During,10,30.8739191323482,24.726476460709,24.86178199068371,6.147442671639197
6100_black,Active,Post,11,26.4974706835017,24.726476460709,7.162339630585267,1.770994222792698
6100_black,Active,Post,12,32.3319691313517,24.726476460709,30.75849760772837,7.605492670642697
6100_black,Active,Post,13,30.2826225522068,24.726476460709,22.47043205014129,5.556146091497798
6100_black,Active,Withdrawal,14,31.2814190718691,24.726476460709,26.509812757090835,6.554942611160097
6100_black,Active,Withdrawal,15,28.3746421492727,24.726476460709,14.754086350963613,3.6481656885636973
6100_black,Active,Withdrawal,16,29.0450932939373,24.726476460709,17.465556971251807,4.3186168332282975
6100_black,Active,Re-exposure,17,30.5993359096686,24.726476460709,23.751299374545827,5.872859448959598
